 Epoch 1/50: 100% 4/4 [00:03<00:00,  1.49it/s]{'epoch': 1, 'train_loss': 0.7673123478889465, 'val_loss': 0.8085373640060425, 'dice': 0.184848815202713, 'iou': 0.10210352204740047, 'sensitivity': 0.9937765002250671, 'specificity': 0.06718169152736664, 'accuracy': 0.1565694808959961}
Saved best checkpoint
Epoch 2/50: 100% 4/4 [00:01<00:00,  2.19it/s]{'epoch': 2, 'train_loss': 0.7388613373041153, 'val_loss': 0.7706271260976791, 'dice': 0.24294734373688698, 'iou': 0.13881689123809338, 'sensitivity': 0.9041563421487808, 'specificity': 0.409199595451355, 'accuracy': 0.45598697662353516}
Saved best checkpoint
Epoch 3/50: 100% 4/4 [00:01<00:00,  2.44it/s]{'epoch': 3, 'train_loss': 0.7153030037879944, 'val_loss': 0.75431689620018, 'dice': 0.2413097694516182, 'iou': 0.13746060617268085, 'sensitivity': 0.5135541558265686, 'specificity': 0.713022455573082, 'accuracy': 0.6946086883544922}
Epoch 4/50: 100% 4/4 [00:01<00:00,  2.36it/s]{'epoch': 4, 'train_loss': 0.6934150904417038, 'val_loss': 0.7390677183866501, 'dice': 0.1343210618942976, 'iou': 0.07208842225372791, 'sensitivity': 0.08910244144499302, 'specificity': 0.9764060080051422, 'accuracy': 0.8905858993530273}
Epoch 5/50: 100% 4/4 [00:01<00:00,  2.17it/s]{'epoch': 5, 'train_loss': 0.6723710298538208, 'val_loss': 0.7366256266832352, 'dice': 0.1219815518707037, 'iou': 0.06500121764838696, 'sensitivity': 0.07720986753702164, 'specificity': 0.9809906929731369, 'accuracy': 0.8936014175415039}
Epoch 6/50: 100% 4/4 [00:01<00:00,  2.43it/s]{'epoch': 6, 'train_loss': 0.6544584780931473, 'val_loss': 0.7388642877340317, 'dice': 0.08065926097333431, 'iou': 0.04207434784621, 'sensitivity': 0.04836477153003216, 'specificity': 0.9849554896354675, 'accuracy': 0.894413948059082}
Epoch 7/50: 100% 4/4 [00:02<00:00,  1.79it/s]{'epoch': 7, 'train_loss': 0.6392974704504013, 'val_loss': 0.7441116869449615, 'dice': 0.045313430950045586, 'iou': 0.02324469108134508, 'sensitivity': 0.026227989234030247, 'specificity': 0.9869144856929779, 'accuracy': 0.8940620422363281}
Epoch 8/50: 100% 4/4 [00:01<00:00,  2.31it/s]{'epoch': 8, 'train_loss': 0.6233870387077332, 'val_loss': 0.7466320097446442, 'dice': 0.034716104390099645, 'iou': 0.01772696222178638, 'sensitivity': 0.01947148353792727, 'specificity': 0.9893676489591599, 'accuracy': 0.8956689834594727}
Epoch 9/50: 100% 4/4 [00:01<00:00,  2.44it/s]{'epoch': 9, 'train_loss': 0.6111432760953903, 'val_loss': 0.7472347766160965, 'dice': 0.03780650720000267, 'iou': 0.01934039848856628, 'sensitivity': 0.021274451166391373, 'specificity': 0.9890445470809937, 'accuracy': 0.8955535888671875}
Epoch 10/50: 100% 4/4 [00:01<00:00,  2.41it/s]{'epoch': 10, 'train_loss': 0.6004837155342102, 'val_loss': 0.7477640062570572, 'dice': 0.04329806286841631, 'iou': 0.022212511394172907, 'sensitivity': 0.02462222706526518, 'specificity': 0.9882509708404541, 'accuracy': 0.8951482772827148}
Epoch 11/50: 100% 4/4 [00:01<00:00,  2.17it/s]{'epoch': 11, 'train_loss': 0.590655118227005, 'val_loss': 0.7481447607278824, 'dice': 0.047297423239797354, 'iou': 0.0243085369002074, 'sensitivity': 0.02719259448349476, 'specificity': 0.9873406291007996, 'accuracy': 0.8945655822753906}
Epoch 12/50: 100% 4/4 [00:01<00:00,  2.39it/s]{'epoch': 12, 'train_loss': 0.5829405784606934, 'val_loss': 0.7490327954292297, 'dice': 0.048241664189845324, 'iou': 0.024808841990306973, 'sensitivity': 0.028026927495375276, 'specificity': 0.9861189424991608, 'accuracy': 0.8935489654541016}
Epoch 13/50: 100% 4/4 [00:01<00:00,  2.38it/s]{'epoch': 13, 'train_loss': 0.5749140232801437, 'val_loss': 0.7478266954421997, 'dice': 0.05627088341861963, 'iou': 0.02905111643485725, 'sensitivity': 0.03294215048663318, 'specificity': 0.9857955724000931, 'accuracy': 0.8937234878540039}
Epoch 14/50: 100% 4/4 [00:01<00:00,  2.37it/s]{'epoch': 14, 'train_loss': 0.5682362616062164, 'val_loss': 0.7441006749868393, 'dice': 0.07159758359193802, 'iou': 0.03724144119769335, 'sensitivity': 0.04220415744930506, 'specificity': 0.9860362261533737, 'accuracy': 0.894810676574707}
Epoch 15/50: 100% 4/4 [00:01<00:00,  2.41it/s]{'epoch': 15, 'train_loss': 0.5619823783636093, 'val_loss': 0.7397142350673676, 'dice': 0.08967031352221966, 'iou': 0.047070533968508244, 'sensitivity': 0.053315265104174614, 'specificity': 0.9863107800483704, 'accuracy': 0.8960952758789062}
Epoch 16/50: 100% 4/4 [00:01<00:00,  2.41it/s]{'epoch': 16, 'train_loss': 0.5565335154533386, 'val_loss': 0.7386093139648438, 'dice': 0.09117664862424135, 'iou': 0.04790595592930913, 'sensitivity': 0.05397101119160652, 'specificity': 0.9869388192892075, 'accuracy': 0.8967189788818359}
